Order_Date,Customer_ID,Order_ID,Quantity,City,District,Catalog_Number,Hebrew_Description,English_Description,Added_Date,Family_Item_ID,Family_Item_Name,Sales_Price_No_VAT,Sales_Price_With_VAT,Cost_Price,Cost_Import_USD,Cost_Production_USD,Size,Color_ID,Color_Name
9/14/2022,100842,SO22000963,1,Beer-Sheva,דרום,NLW-8050L8,OCEAN L Mix&Match Large Logo men Shirt,"Mix&Match Large Logo men Shirt,,L",11/10/2021,7000,Loungewear,127,149,6,0,6,L,8,Lolipop
9/15/2022,100142,SO22000992,1,Tel Aviv-Jaffa,תל אביב,NHB1002-16-2,"סט 100% כותנה סטן 220 160 סמ  BASIC WHITE""",100% CTS. 220 200x220+160x200+2x50x70 BASIC WHIT,5/31/2021,220B,סאטן 220 בסיק,512,599,28,0,0,160/200,2,PAGEANT BLUE
9/15/2022,100142,SO22000992,1,Tel Aviv-Jaffa,תל אביב,NHB7005-1-2,זוג ציפיות סטן 300 לבן,2 PILLOW CASE 100% SATIN 300 WHITE PIPING BLUE,5/31/2021,300S,סאטן 300,170,199,0,0,0,50/70,2,PAGEANT BLUE
9/15/2022,100142,SO22000992,1,Tel Aviv-Jaffa,תל אביב,NHBM3501-1-5,שטיח אמבטיה לוגו 100% כותנה 50/80 1000גר' אפור כהה,,3/1/2022,אמבטיה,שטיחוני אמבטיה,85,99,4,4,0,50/80,5,Inkwell
9/15/2022,100142,SO22000992,1,Tel Aviv-Jaffa,תל אביב,NHD1001-22-2,ינג כחול כיסוי 100% כותנה במילוי מיקרופייבר 400 גר' 220/200,400GSM PREMIUM MICROFIBER BLANKET BLUE PIPING 22,5/31/2021,שמיכות,שמיכות,597,699,20,0,0,220/200,2,PAGEANT BLUE
9/15/2022,100142,SO22000992,1,Tel Aviv-Jaffa,תל אביב,NHKT1001-1-17,"מארז 2 מגבות מטבח אפור/נייבי 60/40 סמ""",,3/1/2022,מטבח,מגבות מטבח,59,69,3,3,0,60/40,17,Peach Pink
9/15/2022,100142,SO22000992,1,Tel Aviv-Jaffa,תל אביב,NHP1002-1-2,כרית לוגו רקום פייפינג כחול כיסוי 100% כותנה במילוי מיקרופי,PILLOW WITH BLUE PIPING 50X70 MICROFIBER 1100GSM,5/31/2021,כריות,כריות,170,199,6,0,0,50/70,2,PAGEANT BLUE
9/15/2022,100142,SO22000992,1,Tel Aviv-Jaffa,תל אביב,NLW-7030S11,SAND S Back to nature women tank and pants set sand,"Back to nature women tank and pants set,,S",11/10/2021,7000,Loungewear,256,299,13,0,10,S,11,GOLD
9/15/2022,100190,SO22000993,1,Bnei Brak,תל אביב,NHB1210-22-6,שמיכת טטרה מידה 200X220 פיצ',,3/1/2022,טטרה,שמיכת טטרה,196,229,12,12,0,200/220,6,Cartouch
9/15/2022,100190,SO22000993,1,Rishon LeZion, מרכז,NHB1210-22-6,שמיכת טטרה מידה 200X220 פיצ',,3/1/2022,טטרה,שמיכת טטרה,196,229,12,12,0,200/220,6,Cartouch
